,Model,Fold,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
0,RF,1,59,21,4,41,41,59,21,4,0.9111111111111111,0.7375,0.6612903225806451,0.9365079365079365
1,RF,2,46,16,16,25,25,46,16,16,0.6097560975609756,0.7419354838709677,0.6097560975609756,0.7419354838709677
2,RF,3,39,17,19,19,19,39,17,19,0.5,0.6964285714285714,0.5277777777777778,0.6724137931034483
3,RF,4,20,9,14,26,26,20,9,14,0.65,0.6896551724137931,0.7428571428571429,0.5882352941176471
4,RF,5,33,12,10,17,17,33,12,10,0.6296296296296297,0.7333333333333333,0.5862068965517241,0.7674418604651163
5,XGB,1,62,18,10,35,35,62,18,10,0.7777777777777778,0.775,0.660377358490566,0.8611111111111112
6,XGB,2,48,14,18,23,23,48,14,18,0.5609756097560976,0.7741935483870968,0.6216216216216216,0.7272727272727273
7,XGB,3,40,16,18,20,20,40,16,18,0.5263157894736842,0.7142857142857143,0.5555555555555556,0.6896551724137931
8,XGB,4,19,10,10,30,30,19,10,10,0.75,0.6551724137931034,0.75,0.6551724137931034
9,XGB,5,40,5,13,14,14,40,5,13,0.5185185185185185,0.8888888888888888,0.7368421052631579,0.7547169811320755
10,DT,1,70,10,24,21,21,70,10,24,0.4666666666666667,0.875,0.6774193548387096,0.7446808510638298
11,DT,2,55,7,27,14,14,55,7,27,0.34146341463414637,0.8870967741935484,0.6666666666666666,0.6707317073170732
12,DT,3,38,18,16,22,22,38,18,16,0.5789473684210527,0.6785714285714286,0.55,0.7037037037037037
13,DT,4,18,11,20,20,20,18,11,20,0.5,0.6206896551724138,0.6451612903225806,0.47368421052631576
14,DT,5,27,18,4,23,23,27,18,4,0.8518518518518519,0.6,0.5609756097560976,0.8709677419354839
